이름,공간유형,수용인원,예약가능시간,예약인원,대관료,이미지URL,홈페이지
강서 ( [서울청년센터 강서] 오픈스페이스 ),라운지,최대 20명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 10일 전까지 신청 가능",최소 10명,15000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2045720,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021152537857543&locale=ko
강서 ( [서울청년센터 강서] 스튜디오 ),편집실,최대 2명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550261,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021151718827942&locale=ko
강서 ( [서울청년센터 강서] 회의실1 ),"강의실, 스터디룸, 회의실",최대 8명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2072095,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021150042672181&locale=ko
강서 ( [서울청년센터 강서] 회의실3 ),"강의실, 스터디룸, 회의실",최대 12명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,10000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550257,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021153726563991&locale=ko
강서 ( [서울청년센터 강서] 회의실2 ),"강의실, 스터디룸, 회의실",최대 8명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2053956,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241021153211466073&locale=ko
강북 ( B1 스튜디오실 ),"작업실, 팟캐스트실",최대 1명,"평일 : 10:00 시 ~ 21:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550253,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240104111731059845
도봉 ( 취업 스튜디오(2층) ),"녹음실, 작업실",최대 2명,"평일 : 10:00 시 ~ 20:00시
토요일 : 10:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550504,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230616160355150431
동대문 ( 세미나실 ),세미나실,최대 40명,"평일 : 11:00 시 ~ 12:00시 / 12:00 시 ~ 13:00시 / 13:00 시 ~ 14:00시 / 14:00 시 ~ 15:00시 / 15:00 시 ~ 16:00시 / 16:00 시 ~ 17:00시 / 17:00 시 ~ 18:00시 / 18:00 시 ~ 19:00시 / 19:00 시 ~ 20:00시 / 20:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 12:00시 / 12:00 시 ~ 13:00시 / 13:00 시 ~ 14:00시 / 14:00 시 ~ 15:00시 / 15:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 10명,10000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550071,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220630153035506350
양천 ( 회의실A ),"세미나실, 회의실",최대 1명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550572,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230531161338998825&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%96%91%EC%B2%9C%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
양천 ( 다목적실B ),"미팅룸, 세미나실, 회의실",최대 1명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550571,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230531160612265357&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%96%91%EC%B2%9C%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
양천 ( 다목적실A ),"강의실, 세미나실, 회의실",최대 15명,"평일 : 11:00 시 ~ 20:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 5명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550570,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230523114321175389&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%96%91%EC%B2%9C%EC%98%A4%EB%9E%91&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
성동 ( 서울청년센터 성동 4층 공유공간 ),커먼스페이스,최대 15명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2054002,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220526122404171737
강동 ( 소강의실 ),강의실,최대 8명,"평일 : 10:00 시 ~ 12:00시 / 13:00 시 ~ 18:00시 / 19:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 12:00시 / 13:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 2명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=2050574,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231102155211165423&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EC%86%8C%EA%B0%95%EC%9D%98%EC%8B%A4&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
금천 ( 멀티미디어실 ),팟캐스트실,최대 1명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550566,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241023135446387537
금천 ( 회의실 ),미팅룸,최대 10명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 3일 전까지 신청 가능",최소 1명,5000 / 시간,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550564,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241023140833734147
마포 ( 연결해랑 ),다목적홀,최대 1명,"평일 : 10:00 시 ~ 18:00시
토요일 : 10:00 시 ~ 18:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 1명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550246,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240222142724295386&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EB%A7%88%ED%8F%AC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
마포 ( 이루어랑 ),스터디룸,최대 10명,"평일 : 00:00 시 ~ 00:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 4명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550569,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231102163250648345&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EB%A7%88%ED%8F%AC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
마포 ( 모여랑 ),세미나실,최대 4명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 2명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550568,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231102161348857427&code=T500&dCode=T514&sch_order=1&sch_choose_list=&sch_type=&sch_text=%EB%A7%88%ED%8F%AC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&svc_prior=N&sch_reqst_value=
성동 ( 회의실 ),세미나실,최대 8명,"평일 : 10:00 시 ~ 22:00시
토요일 : 10:00 시 ~ 17:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 2일 전까지 신청 가능",최소 2명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550410,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230103181918651695
노원 ( 배우다 ),강의실,최대 12명,"평일 : 11:00 시 ~ 21:00시
토요일 : 11:00 시 ~ 16:00시
일요일 : 00:00 시 ~ 00:00시
* 대관일 기준 1일 전까지 신청 가능",최소 5명,무료,https://youth.seoul.go.kr/atch/getImg.do?atchFileSn=1550583,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220722144143250673&locale=ko
